name,image_url,calories,fat,carbs,description,prep_time,cook_time,instructions,protein,id
Yam Muffins,https://images.eatthismuch.com/img/999593_red_sour_berry_bb95b7c3-85d6-4515-b4ef-fac062787dd2.jpg,624,18g,120g,"1 serving of yam muffins  contains 624 Calories. The macronutrient
  breakdown is 66% carbs, 23% fat, and 11% protein.  This is a good source of protein (35% of your Daily Value), fiber (41% of your Daily Value), and potassium (40% of your Daily Value).",10 minutes,30 minutes,"Directions Preheat the oven to 350 degrees F. Prepare a muffin pan with paper cups or non-stick spray.

In a large mixing bowl, stir together the oat bran, baking soda, baking powder, allspice, and cinnamon. 

In a small bowl, mix the shredded yam, egg whites, molasses, applesauce, and oil. Pour the wet mixture into the dry and stir to mix thoroughly.

Fill the muffin cups about level. Bake for 30 to 35 minutes, or until a toothpick comes out clean.",20,11
Chicken Noodle Casserole,https://images.eatthismuch.com/img/324627_simmyras_7b202ee4-6e8c-4ee9-93f4-adae6c37d955.png,728,50g,40g,"1 serving of chicken noodle casserole  contains 728 Calories. The macronutrient
  breakdown is 21% carbs, 61% fat, and 17% protein.  This is a good source of protein (57% of your Daily Value), potassium (10% of your Daily Value), and calcium (41% of your Daily Value).",20 minutes,50 minutes,"Directions Preheat oven to 375 degrees F.Chop chicken into bite sized pieces. Heat oil in a skillet over medium-high heat. Add cubed chicken and sauté for 8-12 minutes, or until cooked through and no longer pink; set aside.Bring a large pot of salted water to boil and cook noodles according to packaging directions, or until al dente.Drain and set aside.In a large bowl combine soups and heavy cream and stir together to mixAdd frozen vegetables, cheddar cheese, cubed chicken, and egg noodles, and season with garlic salt and pepperPour mixture into a large casserole dish and lightly tap it against the counter to remove air bubbles and smooth it outIn a separate bowl, toss together breadcrumbs, parmesan cheese, and melted butter. Sprinkle evenly over the top of casserole.Place baking dish in oven and bake for 30-35 minutes, or until vegetables are tender and sauce is bubbly.Remove from oven and let cool 5 minutes. Transfer to serving bowls and garnish with more cheese",32,12
"Kale, Mozzarella, and Egg Bake",https://images.eatthismuch.com/img/230737_meempster_716c4e90-bc6e-43c8-aa52-e1e4ef951cf7.png,216,15g,3g,"1 serving of kale, mozzarella, and egg bake  contains 216 Calories. The macronutrient
  breakdown is 6% carbs, 63% fat, and 31% protein.  This is a good source of protein (30% of your Daily Value), calcium (22% of your Daily Value), and vitamin a (32% of your Daily Value).",10 minutes,38 minutes,"Directions Preheat oven to 375 degrees F.  Spray an 8.5""x12"" glass or crockery casserole dish with olive oil or nonstick spray. Heat the oil in a large frying pan, add the kale all at once, and stir just until the kale is wilted, about 1 minute for baby kale or 2-3 minutes for chopped kale.  Transfer the kale to the casserole dish, spreading it around so all the bottom of the dish is covered.  Layer the grated cheese and sliced onions on top of the kale.Beat the eggs with salt and fresh ground pepper to taste. Pour egg mixture over the kale/cheese combination, and then use a fork to gently ""stir"" so the eggs, kale, and cheese are evenly combined.Bake about 30-35 minutes or until the mixture is completely set and starting to lightly brown.  Let cool about 5 minutes before cutting.  (The egg bake will settle down some as it cools.)  Serve hot.  Recipe inspired by: http://www.kalynskitchen.com/2012/05/recipe-for-baby-kale-mozzarella-and-egg.html",17,13
Lightened Up Penne alla Vodka,https://images.eatthismuch.com/img/292364_Mscree01_e9468a6b-0629-4ebe-a63f-5e43e5ca30e3.png,566,15g,83g,"1 serving of lightened up penne alla vodka  contains 566 Calories. The macronutrient
  breakdown is 60% carbs, 23% fat, and 17% protein.  This is a good source of protein (42% of your Daily Value), fiber (17% of your Daily Value), and potassium (20% of your Daily Value).",10 minutes,25 minutes,"Directions Bring a large pot of salted water to a boil. Add the penne and cook according to package directions. Drain, reserving 1 cup of the cooking water.

Whisk the yogurt with the cream in a measuring cup and set aside.

Meanwhile, heat the oil in a large skillet over medium heat. Add the shallots and 1/2 teaspoon salt and cook, stirring occasionally, until slightly softened, about 3 minutes. Add the garlic and red pepper flakes and cook, stirring, for 30 seconds. Remove from the heat and stir in the tomatoes and vodka. Return the skillet to medium heat, bring to a simmer and cook, stirring often, until the alcohol cooks off and the sauce comes together and thickens, about 7 minutes. Stir in the yogurt-cream mixture and cook until the sauce thickens slightly, about 3 minutes.

Add the pasta, Parmesan, parsley and 1/2 teaspoon salt to the skillet and toss to combine. Use the reserved pasta water to thin the sauce as needed. Enjoy!

Recipe inspired by: http://www.foodnetwork.com/recipes/food-network-kitchens/lightened-up-penne-a-la-vodka.html?oc=linkback",24,14
BLT Salad with Creamy Chive Dressing,https://images.eatthismuch.com/img/387466_catyasmith_e65b16ca-7e2a-49b5-ad93-62cc5539205a.png,241,20g,12g,"1 serving of blt salad with creamy chive dressing  contains 241 Calories. The macronutrient
  breakdown is 19% carbs, 73% fat, and 8% protein.  This is a good source of potassium (11% of your Daily Value), vitamin a (42% of your Daily Value), and vitamin c (26% of your Daily Value).",25 minutes,15 minutes,"Directions Bake bacon for 15 minutes in a 400 degree oven.  Drain on paper towels and chop.For dressing:  in a small bowl combine vinegar, garlic and a pinch of salt; let stand 10 minutes. Wisk in sour cream, chives and olive oil.  Thin with milk to desired consistency.Arrange spinach, tomatoes, chopped bacon, and croutons on a platter.  Drizzle with dressing.  Sprinkle with additional chopped chives. Serve and enjoy!",5,15
Mexican Red Rice,https://images.eatthismuch.com/img/1337504_quatsch_43806dd8-38f5-45a9-9955-3cfec59906db.jpg,236,5g,41g,"1 serving of mexican red rice  contains 236 Calories. The macronutrient
  breakdown is 71% carbs, 21% fat, and 8% protein.  This has a relatively low calorie density, with 131 Calories per 100g.",3 minutes,30 minutes,"Directions Heat oil in a large saucepan over medium heat. Add minced garlic, stir briefly, then add diced onion. Cook for 4 - 5 minutes until translucent.Add rice, broth, salt and tomato paste. Stir until tomato paste is dissolved.Add dice jalapeno. Cover, bring to simmer, then lower heat to low so the water is simmering gently. Cook for 15 minutes or until liquid is absorbed.Remove from heat, leave lid on and rest for 10 minutes. Fluff with fork and serve.",5,16
5 Spice Pork Lettuce Cups,https://images.eatthismuch.com/img/1015980_elm333_1a3426ac-d5db-4149-a41f-c3370249d288.jpg,437,36g,6g,"1 serving of 5 spice pork lettuce cups  contains 437 Calories. The macronutrient
  breakdown is 6% carbs, 74% fat, and 20% protein.  This is a good source of protein (40% of your Daily Value), potassium (13% of your Daily Value), and vitamin a (52% of your Daily Value).",15 minutes,12 minutes,"Directions Heat oil in a pan over medium-high heat. Add pork and chinese five spice. Cook for 10-12 minutes, or until browned throughout.Combine tahini, aminos, sesame oil, and sesame seeds in a small bowl. Mix well.Serve in lettuce cups topped with grated carrot, bell peppers, cucumber, and cabbage. Garnish with cilantro. Enjoy!",22,17
Seared Salmon with Watercress and Warm Orange Dressing,https://images.eatthismuch.com/img/1012801_tabitharwheeler_486cd6b0-76b2-4a3e-bb1c-cd2f569592cf.jpg,804,29g,67g,"1 serving of seared salmon with watercress and warm orange dressing  contains 804 Calories. The macronutrient
  breakdown is 32% carbs, 32% fat, and 36% protein.  This is a good source of protein (130% of your Daily Value), fiber (41% of your Daily Value), and vitamin d (231% of your Daily Value).",10 minutes,10 minutes,"Directions Remove the thicker stems from the watercress and roughly chop the rest of the bunch.  Slice the radishes.  In a bowl, toss the watercress with 1 tablespoon of the oil and a pinch or two of salt.  Sprinkle with 1 teaspoon of vinegar.  Place salad greens on a serving platter or on 2 individual plates and top with the pineapple and radish slices.Heat a large, heavy skillet over medium-high heat;  when hot, add the remaining tablespoon of olive oil.  Sear the salmon until cooked, taking care to cook through but not overcook, about 4-6 minutes.  Internal temperature should be 145 degrees F.  Sprinkle salt on each side of the salmon during cooking.  Remove the salmon from pan and arrange on the salad.  

To make the dressing, juice the blood orange, then add it to with the remaining tablespoon of vinegar and honey to the same pan, set on high, and bring to a boil.  Cook until liquid is slightly reduced and thickened, about three minutes.Grind some fresh pepper and squeeze a little lemon juice (if desired) over the salad.  Drizzle the sauce over and around the salmon.  Serve immediately while the salmon is still hot.",73,18
Chicken Sausage Patties From Scratch,https://images.eatthismuch.com/img/962323_elm333_4a853623-81d5-4d9d-b14b-34cd264dfa95.jpg,134,8g,3g,"1 serving of chicken sausage patties from scratch  contains 134 Calories. The macronutrient
  breakdown is 8% carbs, 52% fat, and 40% protein.  This is a good source of protein (24% of your Daily Value), potassium (9% of your Daily Value), and vitamin b6 (33% of your Daily Value).",15 minutes,12 minutes,"Directions Heat a medium non-stick skillet over medium low heat and add the oil, onions, and garlic and stir frequently, about 4-5 minutes, until onion is translucent. Lower heat, if needed, to avoid browning too quickly. Season with salt and pepper. Once onion is softened, add fennel and toss quickly until fragrant and toasted, about 1 minute. Remove mixture to a medium bowl to cool slightly.Add ground chicken, red wine vinegar, chives, paprika, sugar, and nutmeg to bowl with onions, garlic and fennel and mix together with a fork until all ingredients are well-distributed. Form mixture into 6 even patties and lay on parchment or wax paper while working. If you want to make these for another day, they can be refrigerated or frozen.Spray a non-stick skillet and set over medium-low heat. Once hot, brown the patties, in two batches, 3 minutes on each side. Once you have achieved a nice browned crust on each side, reduce heat to low and cover. Continue cooking until internal temperature reaches 165 degrees F. Remove from heat and repeat with second batch. Enjoy!Recipe inspired by: http://www.skinnytaste.com/2015/02/turkey-sausage-patties-from-scratch.html",14,19
Matar Pulao,https://images.eatthismuch.com/img/329769_Uzi_606ea2ab-55de-4cc0-b427-122310bccde0.png,291,5g,54g,"1 serving of matar pulao  contains 291 Calories. The macronutrient
  breakdown is 75% carbs, 16% fat, and 8% protein.  This has a relatively low calorie density, with 114 Calories per 100g.",5 minutes,25 minutes,"Directions Heat the oil in a deep heavy skillet over low heat. Add the cloves, cardamom seeds, peppercorns, and cinnamon sticks. Cook for a few minutes to bring out the aroma of the spices. Stir the garlic powder and 2 tablespoons of water together to make a paste; mix into the pan with the spices.Add the green peas to the pan, cover and cook for about 5 minutes.Add the remaining 4 cups of water and rice to the pan. Season with a little salt. Bring to a boil, then cover, and cook for about 15 minutes, until the rice is tender and the water has been absorbed. Taste, and adjust the salt before serving.",6,20
Crispy Barbequed Tofu Slices,https://images.eatthismuch.com/img/57117_ScottChunko_7f3a3bd2-3e11-4166-aee9-d85200890213.jpeg,412,17g,51g,"1 serving of crispy barbequed tofu slices  contains 412 Calories. The macronutrient
  breakdown is 48% carbs, 37% fat, and 15% protein.  This is a good source of protein (28% of your Daily Value), potassium (7% of your Daily Value), and calcium (21% of your Daily Value).",10 minutes,25 minutes,"Directions Drain tofu, and slice into strips. Place in a plastic bag or container, and freeze overnight. This will give the tofu a meatier texture. Thaw tofu strips, and blot with paper towels to dry.Heat olive oil in a large skillet over medium heat. In a small bowl, whisk together the egg white and 1 tablespoon of barbeque sauce. Combine the flour, salt, and pepper in a separate bowl. Dip the tofu slices into the egg mixture, then into the flour mixture, shaking off excess flour. Fry in the hot oil for about 1 minute on each side, until golden brown. Just fry enough at one time so they are not crowded. Remove from the oil to paper towels to drain and cool.Preheat the oven's broiler. Brush tofu slices with additional barbeque sauce, and allow to marinate while the broiler heats up. Arrange them on a broiler pan, or wire rack set over a cookie sheet for best results.Position the oven rack about 6 inches from the heat source. Broil for 5 minutes on each side, or until browned and crisp, watching closely so as not to burn them. Serve warm with the remaining barbeque sauce for dipping.",15,21
Linguine with Red Bell Peppers and Kalamata Olives,https://images.eatthismuch.com/img/45440_Shamarie84_f74d9bfe-f603-4681-bee4-b46c0789e481.png,462,21g,52g,"1 serving of linguine with red bell peppers and kalamata olives  contains 462 Calories. The macronutrient
  breakdown is 43% carbs, 40% fat, and 17% protein.  This is a good source of protein (36% of your Daily Value), potassium (8% of your Daily Value), and calcium (29% of your Daily Value).",20 minutes,20 minutes,"Directions Stem,seed the red bell peppers and cut them into 1/3 inch cubes. Pit the olives and cut them into quarters.  Press the garlic cloves without the juice running out.Cook pasta in large pot of boiling salted
water until just tender but still firm to bite.
Drain, reserving 1 cup cooking liquid.Meanwhile, heat oil in large nonstick
skillet over medium-high heat. Add bell
peppers, olives, garlic, and crushed red
pepper. Saute until bell peppers are tender,
4 to 5 minutes. Add pasta, 1/2 cup reserved
pasta cooking liquid, 1 cup basil, 1 cup
cheese, and vinegar. Toss until sauce coats
pasta, adding more reserved cooking liquid
by 1/4 cupfuls if dry, about 1 minute. Season
to taste with salt and pepper. Transfer to
bowl. Sprinkle with remaining 1/4 cup basil
and serve, passing additional cheese.",20,22
Balsamic-Roasted Pears with Pepper and Honey,https://images.eatthismuch.com/img/45248_elm333_a546c176-b89d-4d8c-b704-040946534701.jpg,287,15g,34g,"1 serving of balsamic-roasted pears with pepper and honey  contains 287 Calories. The macronutrient
  breakdown is 46% carbs, 44% fat, and 9% protein.  This is a good source of fiber (18% of your Daily Value) and vitamin a (18% of your Daily Value).",15 minutes,30 minutes,"Directions Cut goat cheese into (4) 1 ounce cubes.Halve the pears lengthwise and remove the cores.Preheat oven to 400F.Melt butter in an 8-inch square glass baking dish in middle of oven, about 3 minutes.Arrange pears, cut sides down, in 1 layer in butter and roast in middle of oven until tender, about 20 minutes.Pour vinegar over pears and roast 5 minutes more.Transfer pears, cut sides down, to serving plates with cheese and spoon some of juices from baking dish over pears. Drizzle pears and cheese with honey and sprinkle with pepper.",7,23
Healthy Beef Vegetable Quinoa Stew,https://images.eatthismuch.com/img/289938_amusedmonkey_001a4b02-3f73-4b6c-a088-11eb55d882e8.png,286,14g,24g,"1 serving of healthy beef vegetable quinoa stew  contains 286 Calories. The macronutrient
  breakdown is 33% carbs, 44% fat, and 23% protein.  This is a good source of protein (30% of your Daily Value), fiber (24% of your Daily Value), and potassium (22% of your Daily Value).",20 minutes,55 minutes,"Directions Cook quinoa: In a small pot, add ½ cup quinoa and stir in 1 cup water. Bring to a boil, then turn down to simmer, cover, and cook on low heat, until all water is absorbed, about 12-15 minutes.In a large nonstick pot, add ground beef, onions, and garlic. Brown beef thoroughly, stirring often and breaking up beef into very small pieces. Once browned, drain excess fat.Add beef and onions back to pot. Stir in tomatoes, pasta sauce, beef broth, zucchini, mushrooms, red bell peppers, red pepper flakes, Italian seasonings, and black pepper. Mix well. Bring to a boil, turn down to simmer, cover, and cook 25 minutes. Remove cover, stir in spinach and cooked quinoa. Mix well. Cook 2 more minutes, until spinach is wilted.Serve, garnished with Parmesan cheese. Enjoy!",17,24
Vegan Broccoli Quiche,https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,348,19g,33g,"1 serving of vegan broccoli quiche  contains 348 Calories. The macronutrient
  breakdown is 37% carbs, 47% fat, and 15% protein.  This is a good source of protein (24% of your Daily Value), potassium (12% of your Daily Value), and vitamin c (62% of your Daily Value).",15 minutes,40 minutes,"Directions Pre-heat the oven to 425 degrees F.Heat the olive oil in a medium saucepan over medium heat and sauté the onion, green pepper, broccoli, and mushrooms until cooked, about 8 to 10 minutes.In a blender or food processor, blend the tofu, nutmeg, turmeric, basil, salt, and soy milk until smooth. Stir the vegetables and the tofu mixture together and add pepper to taste.Pour the mixed batter into the pie crust.Bake your vegan quiche for 30 minutes, or until a knife inserted just off-center into the quiche comes out cleanRecipe inspired by: http://vegetarian.about.com/od/breakfastrecipe1/r/veganquiche.htm",14,25
Nutribullet Butter Bean and Broccoli Soba Noodles,https://images.eatthismuch.com/img/211888_ZenKari_c0f45eec-8212-4729-a8dd-7f5bacf44c53.png,619,11g,117g,"1 ½ cups of nutribullet butter bean and broccoli soba noodles  contains 619 Calories. The macronutrient
  breakdown is 69% carbs, 15% fat, and 17% protein.  This is a good source of protein (51% of your Daily Value), fiber (71% of your Daily Value), and potassium (40% of your Daily Value).",15 minutes,15 minutes,"Directions Bring a large pot of salted water to a boil. Add soba noodles and cook as package directions indicate; then drain and rinse well. Set noodles aside.

Steam broccoli until it turns bright green (about 2-4 minutes), and set aside.

In a non-stick pan heat olive/coconut oil. Stir in quartered cherry tomatoes, cayenne, salt, and pepper. Add steamed broccoli and let cook for 1-2 minutes so all the pan ingredients get a little caramelized and soften up. Once tomatoes are softened, add butter beans. Stir everything together and pour into a bowl.

In the still-hot pan, put 1-2 tbsp of rice vinegar. Add cooked soba noodles to the vinegar, seasoning with a pinch each of salt, basil, and oregano. Toss to coat the pasta. Once the pasta is coated and heated through, add back the broccoli, beans, and tomatoes. Taste and season with more salt or pepper if needed.

Plate and drizzle with balsamic or cider vinegar, if desired.",29,26
Sour Cream Scrambled Eggs,https://images.eatthismuch.com/img/1488714_tabitharwheeler_6072803d-eb31-469d-ac05-db8f874d8adc.jpg,327,27g,7g,"1 serving of sour cream scrambled eggs  contains 327 Calories. The macronutrient
  breakdown is 9% carbs, 72% fat, and 19% protein.  This is a good source of protein (28% of your Daily Value), potassium (11% of your Daily Value), and vitamin a (28% of your Daily Value).",5 minutes,10 minutes,"Directions Slice avocado and mushrooms, chop chives.Saute mushrooms over medium heat with half of the butter. Set aside.Mix together the sour cream and eggs in a small bowl. Sprinkle with salt and pepper and whisk until combined.Melt the rest of the butter in a nonstick pan over medium-low heat. Add the eggs and gently scramble. Remove from the heat, sprinkle with the chives and serve with sliced avocado and fried mushrooms.Remove from the heat, sprinkle with the chives and serve with sliced avocado and fried mushrooms.",16,27
Grilled Salmon with Corn and Tomatoes,https://images.eatthismuch.com/img/980161_simmyras_22fa9a31-2f94-417a-9902-412006213e0e.png,284,11g,20g,"1 serving of grilled salmon with corn and tomatoes  contains 284 Calories. The macronutrient
  breakdown is 29% carbs, 33% fat, and 38% protein.  This is a good source of protein (48% of your Daily Value), fiber (15% of your Daily Value), and vitamin d (82% of your Daily Value).",30 minutes,10 minutes,"Directions Prepare grill. Defrost corn and salmon.

Add tomatoes, defrosted corn, olive oil, vinegar, and sliced basil; season with 1/4 teaspoon salt, and 1/4 teaspoon pepper. Let the relish sit at room temperature for 15 minutes before serving.

Meanwhile, lightly coat both sides of salmon fillets with cooking spray; season with remaining 1/4 teaspoon salt and 1/4 teaspoon pepper. Place fillets skin side down, and grill 3–4 minutes or until golden brown. Flip fillets, and grill for 3 more minutes. Fish should feel slightly firm in the center and will register 145 degrees F on an instant-read thermometer.Place salmon onto each of 4 plates, and spoon relish over top. Garnish with basil sprigs, if desired.",27,28
Sticky Chicken Strips,https://images.eatthismuch.com/img/208714_Mz_0c58e7aa-afc9-47dc-8540-8a56f921d15b.png,328,6g,8g,"1 serving of sticky chicken strips  contains 328 Calories. The macronutrient
  breakdown is 11% carbs, 18% fat, and 72% protein.  This is a good source of protein (98% of your Daily Value), potassium (18% of your Daily Value), and magnesium (19% of your Daily Value).",15 minutes,30 minutes,"Directions Preheat oven to 400 degrees F.Arrange chicken in a single layer in a baking dish. In a medium bowl combine water, soy sauce, splenda, and wine. Pour over chicken and sprinkle with garlic powder.Bake for 10 minutes in preheated oven until sauce is hot and bubbly.Reduce temperature to 350 degrees F, and bake for an additional 15 to 20 minutes, until sauce is thick and sticky, basting repeatedly. Enjoy!",55,29
